Timestamp,"How do you pronounce ""epoch""?",How strongly are you attached to this pronounciation? (How unwilling are you to change your pronounciation?),You are a/an...,You are mainly situated in which country?,Which statement about your language background best describes you?,Your primary area of interest/expertise is... (select all that apply),What is your favorite generic ice cream flavor?
2/18/2024 1:32:31,"""eh - puck""",5,Undergrad,US,The only language I speak and have spoken is English,,Chocolate
2/18/2024 1:36:15,"""ee - pawk""",4,Undergrad,US,"My main language is English, but I grew up speaking other languages too",Computer Vision,Vanilla
2/18/2024 1:43:24,"""ee - pawk""",4,Grad student,US,"English is my second language, but I am fluent in it","Computer Vision, Natural Language Processing, Machine Learning & Statistical Theory",Vanilla
2/18/2024 1:48:13,"""ee - pawk""",3,"Academia, post-graduate",US,"English is my second language, but I am fluent in it","Computer Vision, Natural Language Processing",Chocolate
2/18/2024 1:48:20,"""ee - pawk""",5,Undergrad,US,The only language I speak and have spoken is English,Machine Learning & Statistical Theory,Strawberry
2/18/2024 1:55:39,"""ee - pawk""",4,Undergrad,US,"English is my second language, but I am fluent in it","Computer Vision, Social Aspects of ML (fairness, safety, privacy)",Chocolate
2/18/2024 1:57:33,"""ee - pawk""",5,Undergrad,US,The only language I speak and have spoken is English,"Computer Vision, Natural Language Processing, Reinforcement & Interactive Learning, Machine Learning & Statistical Theory",Vanilla
2/18/2024 1:57:51,"""eh - puck""",3,Undergrad,US,I am equally fluent in English and another language(s),"Computer Vision, Reinforcement & Interactive Learning, Machine Learning & Statistical Theory",Vanilla
2/18/2024 2:05:02,"""eh - puck""",2,Undergrad,US,"My main language is English, but I grew up speaking other languages too","Social Aspects of ML (fairness, safety, privacy)",Vanilla
2/18/2024 2:10:14,"""eh - pick""",5,"Industry, non-research",US,The only language I speak and have spoken is English,Natural Language Processing,Chocolate
2/18/2024 3:07:27,"""eh - pick""",5,Retired,US,"My main language is English, but I grew up speaking other languages too","Computer Vision, Natural Language Processing, Reinforcement & Interactive Learning, Robotics, Machine Learning & Statistical Theory",Vanilla
2/18/2024 4:48:49,"""ee - pawk""",4,Undergrad,US,The only language I speak and have spoken is English,Natural Language Processing,Chocolate
2/18/2024 8:52:00,"""ee - pawk""",5,Magical unicorn,US,I am equally fluent in English and another language(s),Computer Vision,Chocolate
2/18/2024 10:24:36,"""ee - pawk""",4,Grad student,US,"English is my second language, but I am fluent in it","Computer Vision, Natural Language Processing",Strawberry
2/18/2024 10:36:14,"""ee - pawk""",5,Undergrad,US,"My main language is English, but I grew up speaking other languages too","Computer Vision, Natural Language Processing, Social Aspects of ML (fairness, safety, privacy)",Chocolate
2/18/2024 11:30:38,"""ee - pawk""",2,Magical unicorn,US,I am equally fluent in English and another language(s),,Vanilla
2/18/2024 11:30:56,"""ee - pawk""",4,Undergrad,US,"My main language is English, but I grew up speaking other languages too","Machine Learning & Statistical Theory, Social Aspects of ML (fairness, safety, privacy)",Vanilla
2/18/2024 12:22:54,"""ee - pawk""",1,"Industry, research",US,The only language I speak and have spoken is English,Computer Vision,Strawberry
2/18/2024 12:30:04,"""ee - puck""",5,2024 candidate for washington governor,US,I am equally fluent in English and another language(s),your following question is far too restrictive to be accurately answered as the self changes through time and so too do ice cream preferences and the present self does not invalidate the past or future,Strawberry
2/18/2024 12:33:05,"""eh - pick""",1,Undergrad,US,"My main language is English, but I grew up speaking other languages too",Reinforcement & Interactive Learning,Strawberry
2/18/2024 12:55:24,"""ee - pawk""",4,Grad student,US,"My main language is English, but I grew up speaking other languages too","Computer Vision, Natural Language Processing",Chocolate
2/18/2024 13:31:54,"""ee - pawk""",5,Undergrad,US,"My main language is English, but I grew up speaking other languages too","Natural Language Processing, Machine Learning & Statistical Theory",Chocolate
2/18/2024 14:40:18,"""ee - pawk""",5,Undergrad,US,"My main language is English, but I grew up speaking other languages too","Computer Vision, Natural Language Processing, Reinforcement & Interactive Learning, Machine Learning & Statistical Theory",Vanilla
2/18/2024 14:56:02,"""ee - pawk""",5,Undergrad,US,"English is my second language, but I am fluent in it","Natural Language Processing, Reinforcement & Interactive Learning",Strawberry
2/18/2024 16:23:31,"""eh - pawk""",1,Grad student,US,"English is my second language, but I am fluent in it","Natural Language Processing, Social Aspects of ML (fairness, safety, privacy)",Vanilla
2/18/2024 16:30:17,"""ee - pawk""",4,Grad student,US,I am equally fluent in English and another language(s),"Computer Vision, Natural Language Processing, Social Aspects of ML (fairness, safety, privacy)",Vanilla
2/18/2024 18:40:48,"""ee - pawk""",2,Grad student,US,"My main language is English, but I grew up speaking other languages too",Computer Vision,Vanilla
2/19/2024 10:21:40,"""eh - pawk""",1,Grad student,US,"English is my second language, but I am fluent in it",,Vanilla
2/19/2024 10:54:10,"""ee - pawk""",5,Undergrad,US,The only language I speak and have spoken is English,"Computer Vision, Natural Language Processing, Reinforcement & Interactive Learning",Strawberry
2/19/2024 12:57:26,"""eh - pawk""",4,"Academia/Research Institution, post-graduate",US,"My main language is English, but I grew up speaking other languages too","Robotics, Social Aspects of ML (fairness, safety, privacy)",Vanilla
2/19/2024 13:16:44,"""ee - pawk""",4,"Industry, research",US,The only language I speak and have spoken is English,Automated Planning; Knowledge Representation & Reasoning,Chocolate
2/19/2024 13:39:08,"""ee - pawk""",4,"Academia/Research Institution, post-graduate",US,"My main language is English, but I grew up speaking other languages too",Natural Language Processing,Vanilla
2/19/2024 13:42:41,"""ee - pawk""",5,"Academia/Research Institution, post-graduate",US,The only language I speak and have spoken is English,Natural Language Processing,Strawberry
2/19/2024 13:43:14,"""ee - pawk""",4,Non-magical unicorn,,The only language I speak and have spoken is English,Computer Vision,Chocolate
2/19/2024 13:43:46,"""ee - pawk""",4,"Industry, research",US,"My main language is English, but I grew up speaking other languages too",Computer Vision,Vanilla
2/19/2024 13:43:51,"""eh - puck""",3,"Industry, research",US,"English native, fluent others",Natural Language Processing,Vanilla
2/19/2024 13:43:54,"""eh - pawk""",3,"Academia/Research Institution, post-graduate",US,I am equally fluent in English and another language(s),Natural Language Processing,Vanilla
2/19/2024 13:43:56,"""eh - pawk""",2,"Industry, non-research",US,The only language I speak and have spoken is English,Natural Language Processing,Chocolate
2/19/2024 13:44:07,"""ee - pawk""",2,"Industry, research",US,"English is my second language, but I am fluent in it",Natural Language Processing,Chocolate
2/19/2024 13:44:18,"""eh - puck""",2,Grad student,US,The only language I speak and have spoken is English,Natural Language Processing,Vanilla
2/19/2024 13:45:08,"""ee - pawk""",5,"Industry, non-research",US,"My main language is English, but I grew up speaking other languages too","Natural Language Processing, Machine Learning & Statistical Theory",Vanilla
2/19/2024 13:46:16,"""eh - puck""",4,"Industry, non-research",US,I am equally fluent in English and another language(s),,Vanilla
2/19/2024 13:46:42,"""ee - pawk""",5,"Industry, non-research",US,The only language I speak and have spoken is English,,Vanilla
2/19/2024 13:46:52,"""ee - pawk""",1,"Academia/Research Institution, post-graduate",US,"English is my second language, but I am fluent in it",Natural Language Processing,Vanilla
2/19/2024 13:47:11,"""eh - pawk""",2,"Academia/Research Institution, post-graduate",US,"English is my second language, but I am fluent in it",Natural Language Processing,Chocolate
2/19/2024 13:48:28,"""ee - pawk""",4,Magical unicorn,US,The only language I speak and have spoken is English,Marketing,Vanilla
2/19/2024 13:51:02,"""ee - pawk""",5,"Academia/Research Institution, post-graduate",US,The only language I speak and have spoken is English,"Computer Vision, Machine Learning & Statistical Theory",Strawberry
2/19/2024 13:57:20,"""ee - pawk""",1,"Industry, non-research",US,The only language I speak and have spoken is English,,Chocolate
2/19/2024 13:58:12,"""ee - pawk""",4,"Academia/Research Institution, post-graduate",US,The only language I speak and have spoken is English,Natural Language Processing,Vanilla
2/19/2024 14:01:04,"""ee - pawk""",4,"Industry, non-research",US,The only language I speak and have spoken is English,technology support,Chocolate
2/19/2024 14:01:43,"""eh - puck""",5,"Academia/Research Institution, post-graduate",US,I am equally fluent in English and another language(s),EE,Chocolate
2/19/2024 14:02:26,"""eh - puck""",2,"Academia/Research Institution, post-graduate",US,The only language I speak and have spoken is English,Machine Learning & Statistical Theory,Vanilla
2/19/2024 14:15:42,"""ee - pawk""",5,"Academia/Research Institution, post-graduate",US,The only language I speak and have spoken is English,"Computer Vision, Machine Learning & Statistical Theory",Vanilla
2/19/2024 14:16:03,"""ee - pawk""",3,Grad student,US,The only language I speak and have spoken is English,Natural Language Processing,Chocolate
2/19/2024 14:18:43,"""ee - pawk""",4,"Industry, non-research",US,"My main language is English, but I grew up speaking other languages too",Machine Learning & Statistical Theory,Vanilla
2/19/2024 14:23:48,"""eh - pawk""",5,"Industry, non-research",US,The only language I speak and have spoken is English,,Strawberry
2/19/2024 14:24:44,"""ee - pawk""",2,"Industry, non-research",US,The only language I speak and have spoken is English,,Vanilla
2/19/2024 14:26:58,"""eh - pawk""",5,Magical unicorn,US,I am equally fluent in English and another language(s),,Chocolate
2/19/2024 14:29:45,"""eh - pick""",3,accountant,US,The only language I speak and have spoken is English,,Chocolate
2/19/2024 14:40:04,"""eh - puck""",4,"Industry, research",US,"I speak other languages, but not sure I could say I grew up speaking them, except maybe French, kind of","Linguistics, sociocultural linguistics, user experience writing",Chocolate
2/19/2024 14:40:32,"""eh - pawk""",1,"Academia/Research Institution, post-graduate",US,The only language I speak and have spoken is English,Natural Language Processing,Chocolate
2/19/2024 14:58:29,"""ee - pawk""",4,Magical unicorn,US,The only language I speak and have spoken is English,,Chocolate
2/19/2024 15:04:31,"""ee - pawk""",3,Undergrad,US,"My main language is English, but I grew up speaking other languages too","Natural Language Processing, Reinforcement & Interactive Learning",
2/19/2024 15:07:50,"""ee - pawk""",1,Magical unicorn,US,The only language I speak and have spoken is English,"Social Aspects of ML (fairness, safety, privacy)",Chocolate
2/19/2024 15:41:05,"""eh - puck""",1,"Industry, non-research",US,The only language I speak and have spoken is English,,Vanilla
2/19/2024 15:43:18,"""eh - puck""",4,"Academia/Research Institution, post-graduate",US,The only language I speak and have spoken is English,Engineering,Chocolate
2/19/2024 15:46:34,"""eh - puck""",4,lexicographer!,US,"Fluent in English, conversant in some others",Language,Chocolate
2/19/2024 16:35:21,"""eh - pick""",5,Grad student,US,"My main language is English, but I grew up speaking other languages too",Robotics,Chocolate
2/19/2024 16:44:49,"""ee - pawk""",4,BA degree - not sure where that fits in your categories,"Born and raised Canadian, transplanted to US",The only language I speak and have spoken is English,,Vanilla
2/19/2024 17:11:13,"""ee - pawk""",5,Grad student,US,"English is my second language, but I am fluent in it","Reinforcement & Interactive Learning, Robotics",Chocolate
2/19/2024 17:13:45,"""ee - pawk""",1,Undergrad,US,The only language I speak and have spoken is English,"Computer Vision, Robotics",Chocolate
2/19/2024 17:13:50,"""ee - pawk""",1,Grad student,US,"My main language is English, but I grew up speaking other languages too",Robotics,Chocolate
2/19/2024 17:14:25,"""ee - pawk""",3,Grad student,US,The only language I speak and have spoken is English,,Chocolate
2/19/2024 17:15:00,"""ee - pawk""",3,Undergrad,US,My native language is English and I learned another language in school ,Ece ,Vanilla
2/19/2024 17:16:27,"""ee - pawk""",4,"Industry, non-research",US,The only language I speak and have spoken is English,Software Engineering,Strawberry
2/19/2024 17:17:53,"""ee - pawk""",5,enigma,US,"My main language is English, but I grew up speaking other languages too",Robotics,Vanilla
2/19/2024 17:19:05,"""ee - pawk""",3,Grad student,US,"My main language is English, but I grew up speaking other languages too","Machine Learning & Statistical Theory, Social Aspects of ML (fairness, safety, privacy)",Chocolate
2/19/2024 17:24:36,"""ee - pawk""",5,"Academia/Research Institution, post-graduate",US,"English is my second language, but I am fluent in it","Computer Vision, Robotics, Machine Learning & Statistical Theory",Chocolate
2/19/2024 17:29:09,"""ee - pawk""",1,Undergrad,US,I am equally fluent in English and another language(s),Mechanical engineering ,Vanilla
2/19/2024 17:38:35,"""ee - pawk""",5,Grad student,US,The only language I speak and have spoken is English,"Computer Vision, Robotics",Vanilla
2/19/2024 17:39:29,"""ee - pawk""",5,Grad student,US,I am equally fluent in English and another language(s),Robotics,Chocolate
2/19/2024 17:44:39,"""ee - pawk""",1,Magical unicorn,US,The only language I speak and have spoken is English,Pizza,Strawberry
2/19/2024 17:48:17,"""ee - pawk""",4,Grad student,US,"My main language is English, but I grew up speaking other languages too","Computer Vision, Robotics",Vanilla
2/19/2024 18:16:02,"""ee - pawk""",3,Grad student,US,The only language I speak and have spoken is English,Robotics,Vanilla
2/19/2024 19:10:49,"""ee - pawk""",5,Grad student,US,"English is my second language, but I am fluent in it","Computer Vision, Robotics, Machine Learning & Statistical Theory",Chocolate
2/19/2024 19:16:26,"""eh - pawk""",2,Undergrad,US,,,Vanilla
2/19/2024 19:52:34,"""ee - pawk""",4,Grad student,US,,,Strawberry
2/19/2024 19:53:54,"""ee - pawk""",4,Grad student,US,The only language I speak and have spoken is English,"Reinforcement & Interactive Learning, Robotics",Chocolate
2/19/2024 20:24:10,"""ee - pawk""",4,Grad student,US,I am equally fluent in English and another language(s),"Computer Vision, Social Aspects of ML (fairness, safety, privacy)",Chocolate
2/19/2024 20:39:43,"""ee - pawk""",3,"Industry, research",Australia,The only language I speak and have spoken is English,"Computer Vision, Robotics, Machine Learning & Statistical Theory",Chocolate
2/19/2024 21:24:09,"""eh - pick""",3,"Academia/Research Institution, post-graduate",US,The only language I speak and have spoken is English,Natural Language Processing,Chocolate
2/19/2024 21:30:02,"""eh - pawk""",1,Magical unicorn,US,"My main language is English, but I grew up speaking other languages too","Natural Language Processing, Social Aspects of ML (fairness, safety, privacy)",Chocolate
2/19/2024 22:53:25,"""eh - puck""",1,"Academia/Research Institution, post-graduate",US,"English is my native language, I didn't grow up speaking other languages, but now I speak several others fairly poorly ",Natural Language Processing,Vanilla
2/19/2024 23:40:26,"""ee - pawk""",2,Grad student,Germany,"English is my second language, but I am fluent in it",Natural Language Processing,Chocolate
2/20/2024 1:07:27,"""eh - puck""",4,"Academia/Research Institution, post-graduate",Germany ,I am equally fluent in English and another language(s),Natural Language Processing,Strawberry
2/20/2024 1:11:15,"""ee - pawk""",5,Grad student,sweden,"(US-American) English is my first language, but I speak other languages too",Natural Language Processing,Chocolate
2/20/2024 5:19:47,"""ee - pawk""",1,Grad student,US,The only language I speak and have spoken is English,Robotics,Vanilla
2/20/2024 5:33:51,"""eh - pick""",4,Grad student,US,The only language I speak and have spoken is English,Machine Learning & Statistical Theory,Chocolate
2/20/2024 6:18:26,"""eh - pawk""",3,Grad student,US,The only language I speak and have spoken is English,MechE + Nuclear Engineering,Strawberry
2/20/2024 7:01:04,"""ee - pawk""",3,Grad student,US,The only language I speak and have spoken is English,Natural Language Processing,Chocolate
2/20/2024 7:04:29,"""ee - pawk""",1,Magical unicorn,US,"My main language is English, but I grew up speaking other languages too",Natural Language Processing,Chocolate
2/20/2024 7:04:30,"""ee - pawk""",3,Grad student,US,"English is my second language, but I am fluent in it",Natural Language Processing,Chocolate
2/20/2024 7:09:07,"""eh - pawk""",3,Grad student,US,"English is my second language, but I am fluent in it",Natural Language Processing,Strawberry
2/20/2024 7:09:41,"""eh - puck""",2,Grad student,US,"My main language is English, but I grew up speaking other languages too","Natural Language Processing, computational linguistics",Chocolate
2/20/2024 7:12:32,"""eh - pawk""",3,"Academia/Research Institution, post-graduate",US,The only language I speak and have spoken is English,Natural Language Processing,Vanilla
2/20/2024 7:14:00,"""ee - pawk""",4,"Academia/Research Institution, post-graduate",US,"My main language is English, but I grew up speaking other languages too",Natural Language Processing,Chocolate
2/20/2024 7:20:54,"""eh - puck""",1,Grad student,US,"My main language is English, but I grew up speaking other languages too",Natural Language Processing,Vanilla
2/20/2024 7:23:55,"""eh - pawk""",1,"Academia/Research Institution, post-graduate",US,I am equally fluent in English and another language(s),Natural Language Processing,Chocolate
2/20/2024 7:24:18,"""ee - pawk""",5,"Academia/Research Institution, post-graduate",US,"English is my second language, but I am fluent in it","Computer Vision, Natural Language Processing",Vanilla
2/20/2024 7:24:51,"""ee - pawk""",4,Grad student,US,I am equally fluent in English and another language(s),Natural Language Processing,Chocolate
2/20/2024 7:29:43,"""eh - pawk""",5,Nightmare dressed as a daydream,US,"My main language is English, but I grew up speaking other languages too","Natural Language Processing, Social Aspects of ML (fairness, safety, privacy)",Vanilla
2/20/2024 7:31:56,"""ee - pawk""",5,Grad student,,"English is my second language, but I am fluent in it","Natural Language Processing, Reinforcement & Interactive Learning, Robotics",Vanilla
2/20/2024 7:40:42,"""ee - pawk""",5,"Academia/Research Institution, post-graduate",US,"My main language is English, but I grew up speaking other languages too",,Vanilla
2/20/2024 7:40:56,"""ee - pawk""",4,"Academia/Research Institution, post-graduate",US,The only language I speak and have spoken is English,"Natural Language Processing, Machine Learning & Statistical Theory",Vanilla
2/20/2024 7:41:17,"""ee - pawk""",3,Grad student,US,The only language I speak and have spoken is English,"Natural Language Processing, Machine Learning & Statistical Theory",
2/20/2024 7:55:10,"""ee - pawk""",5,Grad student,US,The only language I speak and have spoken is English,Robotics,Chocolate
2/20/2024 7:55:14,"""ee - pawk""",1,Grad student,US,"English is my second language, but I am fluent in it","Computer Vision, Robotics",Chocolate
2/20/2024 8:03:17,"""ee - pawk""",2,Grad student,US,"English is my second language, but I am fluent in it","Computer Vision, Natural Language Processing, Machine Learning & Statistical Theory",Chocolate
2/20/2024 8:07:47,"""ee - pawk""",1,"Academia/Research Institution, post-graduate",US,The only language I speak and have spoken is English,"Social Aspects of ML (fairness, safety, privacy)",Chocolate
2/20/2024 8:20:43,"""ee - pawk""",2,Grad student,US,"My main language is English, but I grew up speaking other languages too",Natural Language Processing,Vanilla
2/20/2024 8:28:17,"""ee - pawk""",4,Grad student,US,"My main language is English, but I grew up speaking other languages too",Natural Language Processing,Vanilla
2/20/2024 8:31:22,"""ee - pawk""",4,Grad student,US,"English is my second language, but I am fluent in it",Natural Language Processing,Chocolate
2/20/2024 8:35:39,"""ee - pawk""",5,"Academia/Research Institution, post-graduate",US,"English is my second language, but I am fluent in it",Natural Language Processing,Chocolate
2/20/2024 8:49:37,"""ee - pawk""",5,Grad student,US,"English is my second language, but I am fluent in it",Natural Language Processing,Chocolate
2/20/2024 8:51:52,"""ee - pawk""",3,Magical unicorn,US,The only language I speak and have spoken is English,Natural Language Processing,Strawberry
2/20/2024 9:25:21,"""eh - pawk""",5,Grad student,US,I am equally fluent in English and another language(s),"Computer Vision, Reinforcement & Interactive Learning, Robotics, Machine Learning & Statistical Theory",Vanilla
2/20/2024 9:34:03,"""ee - pawk""",1,Grad student,US,I am equally fluent in English and another language(s),"Computer Vision, Robotics",Chocolate
2/20/2024 9:54:04,"""eh - pawk""",5,Grad student,Portugal,"English is my second language, but I am fluent in it",Natural Language Processing,Vanilla
2/20/2024 9:58:59,"""ee - pawk""",4,Grad student,US,"My main language is English, but I grew up speaking other languages too","Natural Language Processing, Machine Learning & Statistical Theory, Social Aspects of ML (fairness, safety, privacy)",Vanilla
2/20/2024 9:59:30,"""eh - puck""",4,Grad student,US,"English is my second language, but I am fluent in it",Natural Language Processing,Vanilla
2/20/2024 10:09:05,"""eh - pick""",3,"Academia/Research Institution, post-graduate",US,"My main language is English, but I grew up speaking other languages too",Natural Language Processing,Vanilla
2/20/2024 10:17:35,"""eh - pick""",2,Grad student,US,"English is my second language, but I am fluent in it",Computer Vision,Chocolate
2/20/2024 10:19:59,"""ee - pawk""",2,Grad student,US,The only language I speak and have spoken is English,"Computer Vision, Natural Language Processing, Social Aspects of ML (fairness, safety, privacy)",Chocolate
2/20/2024 10:21:04,"""eh - pawk""",1,Undergrad,US,"English is my second language, but I am fluent in it",Robotics,Strawberry
2/20/2024 10:32:13,"""ee - pawk""",5,Magical unicorn,Mars,"English is my second language, but I am fluent in it",Natural Language Processing,Strawberry
2/20/2024 11:58:20,"""ee - pawk""",2,"Academia/Research Institution, post-graduate",US,"My main language is English, but I grew up speaking other languages too",Cognitive Science,Vanilla
2/20/2024 11:59:55,"""ee - pawk""",3,"Academia/Research Institution, post-graduate",US,The only language I speak and have spoken is English,,Chocolate
2/20/2024 12:08:49,"""eh - pawk""",4,"Academia/Research Institution, post-graduate",Korea,"English is my second language, and I am not quite fluent in it","Natural Language Processing, Machine Learning & Statistical Theory",Vanilla
2/20/2024 12:21:31,"""eh - pawk""",2,Grad student,US,The only language I speak and have spoken is English,HCI,Chocolate
2/20/2024 12:31:03,"""ee - pawk""",4,"Academia/Research Institution, post-graduate",US,The only language I speak and have spoken is English,Robotics,Vanilla
2/20/2024 12:40:54,"""ee - pawk""",5,Grad student,US,"English is my second language, but I am fluent in it","Reinforcement & Interactive Learning, Robotics",Chocolate
2/20/2024 13:16:52,"""ee - pawk""",5,Grad student,US,The only language I speak and have spoken is English,"Natural Language Processing, Social Aspects of ML (fairness, safety, privacy)",Vanilla
2/20/2024 13:39:40,"""ee - pawk""",5,Grad student,US,I am equally fluent in English and another language(s),Robotics,Chocolate
2/20/2024 17:12:06,"""ee - pawk""",4,Grad student,US,"My main language is English, but I grew up speaking other languages too",Natural Language Processing,Vanilla
2/20/2024 18:36:00,"""eh - pick""",4,Grad student,US,"My main language is English, but I grew up speaking other languages too","Computer Vision, Robotics, Machine Learning & Statistical Theory",Vanilla
2/20/2024 19:43:09,"""ee - pawk""",2,Grad student,US,The only language I speak and have spoken is English,Robotics,Chocolate
2/20/2024 21:26:23,"""ee - pawk""",2,"Academia/Research Institution, post-graduate",US,"My main language is English, but I grew up speaking other languages too",Psycholinguistics,Vanilla
2/20/2024 21:27:33,"""ee - pawk""",5,Grad student,US,I am equally fluent in English and another language(s),Robotics,Chocolate
2/21/2024 0:38:59,"""ee - pawk""",4,Grad student,US,I am equally fluent in English and another language(s),Natural Language Processing,Strawberry
2/21/2024 1:17:56,"""ee - pawk""",2,"Academia/Research Institution, post-graduate",Canada,The only language I speak and have spoken is English,Machine Learning & Statistical Theory,Vanilla
2/21/2024 7:46:26,"""eh - pawk""",2,Grad student,US,The only language I speak and have spoken is English,Robotics,Vanilla
2/21/2024 7:49:35,"""ee - pawk""",5,Magical unicorn,US,"English is my second language, but I am fluent in it",Reinforcement & Interactive Learning,Vanilla
2/21/2024 8:13:04,"""ee - pawk""",2,Grad student,US,The only language I speak and have spoken is English,Natural Language Processing,Vanilla
2/21/2024 10:31:32,"""ee - pawk""",3,Grad student,US,"My main language is English, but I grew up speaking other languages too",Robotics,Chocolate
2/21/2024 10:34:50,"""ee - pawk""",5,Grad student,US,"My main language is English, but I grew up speaking other languages too","Computer Vision, Robotics, Machine Learning & Statistical Theory",Vanilla
2/21/2024 13:22:13,"""ee - pawk""",3,Undergrad,US,The only language I speak and have spoken is English,your mom,Vanilla
2/21/2024 15:43:28,"""ee - pawk""",3,"Industry, research",US,"English is my second language, but I am fluent in it",Natural Language Processing,Strawberry
2/21/2024 16:48:28,"""eh - pawk""",4,Grad student,US,"English is my second language, but I am fluent in it","Natural Language Processing, Machine Learning & Statistical Theory",Chocolate
2/21/2024 18:24:50,"""ee - pawk""",4,"Industry, research",US,The only language I speak and have spoken is English,Robotics,Chocolate
2/21/2024 19:28:51,"""ee - pawk""",3,Grad student,US,"My main language is English, but I grew up speaking other languages too","Natural Language Processing, Social Aspects of ML (fairness, safety, privacy)",Vanilla
2/23/2024 3:34:19,"""ee - pawk""",4,Undergrad,US,The only language I speak and have spoken is English,"Computer Vision, Robotics",Chocolate
2/23/2024 11:55:51,"""ee - pawk""",4,Undergrad,Canada,The only language I speak and have spoken is English,"Social Aspects of ML (fairness, safety, privacy)",Chocolate